condition,scenario_id,trait,target_direction,bfi_score,trait_score,consistency,bfi_target_score,bfi_target_attainment,trait_target_score,trait_target_attainment
as_pas_only,trait_agreeableness_00701,agreeableness,high,0.5555555555555556,0.4992227330224762,0.9436671774669206,0.5555555555555556,0.05555555555555558,0.4992227330224762,-0.0007772669775237828
as_pas_only,trait_agreeableness_00702,agreeableness,high,0.5555555555555556,0.4505880422627311,0.8950324867071755,0.5555555555555556,0.05555555555555558,0.4505880422627311,-0.04941195773726892
as_pas_only,trait_agreeableness_00703,agreeableness,high,0.5555555555555556,0.45536241746898865,0.8998068619134331,0.5555555555555556,0.05555555555555558,0.45536241746898865,-0.044637582531011355
as_pas_only,trait_agreeableness_00704,agreeableness,high,0.5555555555555556,0.4764446772204436,0.920889121664888,0.5555555555555556,0.05555555555555558,0.4764446772204436,-0.02355532277955641
as_pas_only,trait_agreeableness_00705,agreeableness,high,0.5555555555555556,0.6395373356549143,0.9160182199006413,0.5555555555555556,0.05555555555555558,0.6395373356549143,0.13953733565491433
as_pas_only,trait_agreeableness_00706,agreeableness,high,0.5555555555555556,0.47489836179174355,0.9193428062361879,0.5555555555555556,0.05555555555555558,0.47489836179174355,-0.02510163820825645
as_pas_only,trait_agreeableness_00707,agreeableness,high,0.5555555555555556,0.5277813768223953,0.9722258212668398,0.5555555555555556,0.05555555555555558,0.5277813768223953,0.027781376822395343
as_pas_only,trait_agreeableness_00708,agreeableness,high,0.5555555555555556,0.4670624504545696,0.911506894899014,0.5555555555555556,0.05555555555555558,0.4670624504545696,-0.03293754954543038
as_pas_only,trait_agreeableness_00709,agreeableness,high,0.5555555555555556,0.5682803859794255,0.98727516957613,0.5555555555555556,0.05555555555555558,0.5682803859794255,0.06828038597942554
as_pas_only,trait_agreeableness_00710,agreeableness,high,0.5555555555555556,0.559258759021759,0.9962967965337965,0.5555555555555556,0.05555555555555558,0.559258759021759,0.05925875902175903
as_pas_only,trait_agreeableness_00711,agreeableness,high,0.5555555555555556,0.39794628915110664,0.8423907335955511,0.5555555555555556,0.05555555555555558,0.39794628915110664,-0.10205371084889336
as_pas_only,trait_agreeableness_00712,agreeableness,high,0.5555555555555556,0.5177771592802656,0.96222160372471,0.5555555555555556,0.05555555555555558,0.5177771592802656,0.017777159280265575
as_pas_only,trait_agreeableness_00713,agreeableness,high,0.5555555555555556,0.5153739005327225,0.9598183449771669,0.5555555555555556,0.05555555555555558,0.5153739005327225,0.015373900532722473
as_pas_only,trait_agreeableness_00714,agreeableness,high,0.5555555555555556,0.5432761447645382,0.9877205892089826,0.5555555555555556,0.05555555555555558,0.5432761447645382,0.04327614476453823
as_pas_only,trait_agreeableness_00715,agreeableness,high,0.5555555555555556,0.5455101186554081,0.9899545630998525,0.5555555555555556,0.05555555555555558,0.5455101186554081,0.045510118655408105
as_pas_only,trait_agreeableness_00716,agreeableness,high,0.5555555555555556,0.5080977236090733,0.9525421680535178,0.5555555555555556,0.05555555555555558,0.5080977236090733,0.008097723609073348
as_pas_only,trait_agreeableness_00717,agreeableness,high,0.5555555555555556,0.49181502373404623,0.9362594681784906,0.5555555555555556,0.05555555555555558,0.49181502373404623,-0.00818497626595377
as_pas_only,trait_agreeableness_00718,agreeableness,high,0.5555555555555556,0.46662098964123444,0.9110654340856789,0.5555555555555556,0.05555555555555558,0.46662098964123444,-0.03337901035876556
